央视,#genre#
CCTV-7HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225511/10000100000000060000000000003376_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyZCIm26SBZbak9N7uSeLvUP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-8HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225753/10000100000000060000000002957365_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigeyz2wf7nyqm7TS41aO+RIsrP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-9HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225691/10000100000000060000000000015619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyGn4pBiCK5nD0CYs3Rwj6lv1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV10HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225517/10000100000000060000000000007518_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyTkNmxSCXrIJ9AM76o83EhP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-12HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225523/10000100000000060000000000007516_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyxkxEXmFgbXQ0mbL5lwHsLv1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-13HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226143/10000100000000060000000011287863_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyGyfMCzB4d0tsDaRRXQxoFP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-14HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225529/10000100000000060000000000007514_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyhvShge145oc9xjMb6O4CIf1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-15,rtsp://122.191.50.135/PLTV/88888888/224/3221225532/10000100000000060000000000007513_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyFlFool4StEJtW9xIVBwcIP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-NEWS,rtsp://122.191.50.135/PLTV/88888888/224/3221225535/10000100000000060000000000007512_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyUyJ/F8bWVfdV7hCgRy3inv1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-17HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225871/10000100000000060000000003075841_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyizWEzD/pQwlQ6jmMgEkA8P1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
