 央视频道,#genre#
 宁强2台,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200702/SD/nqdst02/51/index.m3u8?&encrypt=
 略阳1台 陕西,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200702/SD/lydst/51/index.m3u8?&encrypt=
 镇巴综合 陕西,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200702/SD/zjdst/51/index.m3u8?&encrypt=
 勉县综合 陕西,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20220506/mianxiandst/51/index.m3u8?&encrypt=
 城固综合 陕西,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20210830/chengguhd/51/index.m3u8?&encrypt=
 昌黎综合 河北,http://hlsbkmgsplive.miguvideo.com/migu/kailu/changlirongmeiti/50/20220525/index.m3u8?&encrypt=
 SDETV山东教育,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/shandongedu/1000/index.m3u8?&encrypt=
 国学频道,http://hlsbkmgsplive.miguvideo.com/wd_r4/ocn/shuhua/600/index.m3u8?&encrypt=
 金鹰纪实,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jinyingjishi/1200/index.m3u8?&encrypt=
 江苏城市,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jschengshi/600/index.m3u8?&encrypt=
 江苏综艺,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jszongyi/600/index.m3u8?&encrypt=
 江苏公共新闻,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsgonggong/600/index.m3u8?&encrypt=
 江苏教育,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsjiaoyu/600/index.m3u8?&encrypt=
 江苏国际,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsguoji/600/index.m3u8?&encrypt=
 江苏影视,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsyingshi/600/index.m3u8?&encrypt=
 江苏体育休闲,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jstiyu/600/index.m3u8?&encrypt=
 江苏思考,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsxuexi/600/index.m3u8?&encrypt=
 好享购物,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/hxgw/600/index.m3u8?&encrypt=
 江苏靓妆,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/jsliangzhuang/600/index.m3u8?&encrypt=
 优漫卡通,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/ymkt/600/index.m3u8?&encrypt=
 无锡新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/wxxinwenzonghe/600/index.m3u8?&encrypt=
 常州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/czxinwenzonghe/600/index.m3u8?&encrypt=
 扬州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/yzxinwenzonghe/600/index.m3u8?&encrypt=
 苏州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/szxinwenzonghe/600/index.m3u8?&encrypt=
 泰州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/tzxinwenzonghe/600/index.m3u8?&encrypt=
